id_commune;commune_gironde;;kilometrage_bordeaux;frais_livraison_euros;;
1;Abzac;Abzac;58;39,22;('Abzac', 58, 39.22),;('Abzac', 58, 39.22),
2;Aillas;Aillas;71;46,89;('Aillas', 71, 46.89),;('Aillas', 71, 46.89),
3;Ambarès-et-Lagrave;Ambarès-et-Lagrave;15;13,85;('Ambarès-et-Lagrave', 15, 13.85),;('Ambarès-et-Lagrave', 15, 13.85),
4;Ambès;Ambès;29;22,11;('Ambès', 29, 22.11),;('Ambès', 29, 22.11),
5;Andernos-les-Bains;Andernos-les-Bains;48;33,32;('Andernos-les-Bains', 48, 33.32),;('Andernos-les-Bains', 48, 33.32),
6;Anglade;Anglade;67;44,53;('Anglade', 67, 44.53),;('Anglade', 67, 44.53),
7;Arbanats;Arbanats;31;23,29;('Arbanats', 31, 23.29),;('Arbanats', 31, 23.29),
8;Arcachon;Arcachon;66;43,94;('Arcachon', 66, 43.94),;('Arcachon', 66, 43.94),
9;Arcins;Arcins;36;26,24;('Arcins', 36, 26.24),;('Arcins', 36, 26.24),
10;Arès;Arès;50;34,5;('Arès', 50, 34.5),;('Arès', 50, 34.5),
11;Arsac;Arsac;25;19,75;('Arsac', 25, 19.75),;('Arsac', 25, 19.75),
12;Artigues-près-Bordeaux;Artigues-près-Bordeaux;15;13,85;('Artigues-près-Bordeaux', 15, 13.85),;('Artigues-près-Bordeaux', 15, 13.85),
13;Arveyres;Arveyres;30;22,7;('Arveyres', 30, 22.7),;('Arveyres', 30, 22.7),
14;Asques;Asques;30;22,7;('Asques', 30, 22.7),;('Asques', 30, 22.7),
15;Aubiac;Aubiac;55;37,45;('Aubiac', 55, 37.45),;('Aubiac', 55, 37.45),
16;Audenge;Audenge;49;33,91;('Audenge', 49, 33.91),;('Audenge', 49, 33.91),
17;Auriolles;Auriolles;70;46,3;('Auriolles', 70, 46.3),;('Auriolles', 70, 46.3),
18;Auros;Auros;59;39,81;('Auros', 59, 39.81),;('Auros', 59, 39.81),
19;Avensan;Avensan;31;23,29;('Avensan', 31, 23.29),;('Avensan', 31, 23.29),
20;Ayguemorte-les-Graves;Ayguemorte-les-Graves;24;19,16;('Ayguemorte-les-Graves', 24, 19.16),;('Ayguemorte-les-Graves', 24, 19.16),
21;Bagas;Bagas;83;53,97;('Bagas', 83, 53.97),;('Bagas', 83, 53.97),
22;Baigneaux;Baigneaux;40;28,6;('Baigneaux', 40, 28.6),;('Baigneaux', 40, 28.6),
23;Balizac;Balizac;54;36,86;('Balizac', 54, 36.86),;('Balizac', 54, 36.86),
24;Barie;Barie;66;43,94;('Barie', 66, 43.94),;('Barie', 66, 43.94),
25;Baron;Baron;2;6,18;('Baron', 2, 6.18),;('Baron', 2, 6.18),
26;Barsac;Barsac;83;53,97;('Barsac', 83, 53.97),;('Barsac', 83, 53.97),
27;Bassanne;Bassanne;74;48,66;('Bassanne', 74, 48.66),;('Bassanne', 74, 48.66),
28;Bassens;Bassens;12;12,08;('Bassens', 12, 12.08),;('Bassens', 12, 12.08),
29;Baurech;Baurech;25;19,75;('Baurech', 25, 19.75),;('Baurech', 25, 19.75),
30;Bayas;Bayas;52;35,68;('Bayas', 52, 35.68),;('Bayas', 52, 35.68),
31;Bayon/Gironde;Bayon/Gironde;44;30,96;('Bayon/Gironde', 44, 30.96),;('Bayon/Gironde', 44, 30.96),
32;Bazas;Bazas;68;45,12;('Bazas', 68, 45.12),;('Bazas', 68, 45.12),
33;Beautiran;Beautiran;26;20,34;('Beautiran', 26, 20.34),;('Beautiran', 26, 20.34),
34;Bégadan;Bégadan;71;46,89;('Bégadan', 71, 46.89),;('Bégadan', 71, 46.89),
35;Bègles;Bègles;6;8,54;('Bègles', 6, 8.54),;('Bègles', 6, 8.54),
36;Béguey;Béguey;43;30,37;('Béguey', 43, 30.37),;('Béguey', 43, 30.37),
37;Belin-Beliet;Belin-Beliet;45;31,55;('Belin-Beliet', 45, 31.55),;('Belin-Beliet', 45, 31.55),
38;Bellebat;Bellebat;34;25,06;('Bellebat', 34, 25.06),;('Bellebat', 34, 25.06),
39;Bellefond;Bellefond;33;24,47;('Bellefond', 33, 24.47),;('Bellefond', 33, 24.47),
40;Belvès-de-Castillon;Belvès-de-Castillon;58;39,22;('Belvès-de-Castillon', 58, 39.22),;('Belvès-de-Castillon', 58, 39.22),
41;Bernos-Beaulac;Bernos-Beaulac;66;43,94;('Bernos-Beaulac', 66, 43.94),;('Bernos-Beaulac', 66, 43.94),
42;Berson;Berson;43;30,37;('Berson', 43, 30.37),;('Berson', 43, 30.37),
43;Berthez;Berthez;51;35,09;('Berthez', 51, 35.09),;('Berthez', 51, 35.09),
44;Beychac-et-Caillau;Beychac-et-Caillau;24;19,16;('Beychac-et-Caillau', 24, 19.16),;('Beychac-et-Caillau', 24, 19.16),
45;Bieujac;Bieujac;59;39,81;('Bieujac', 59, 39.81),;('Bieujac', 59, 39.81),
46;Biganos;Biganos;46;32,14;('Biganos', 46, 32.14),;('Biganos', 46, 32.14),
47;Birac;Birac;75;49,25;('Birac', 75, 49.25),;('Birac', 75, 49.25),
48;Blaignac;Blaignac;73;48,07;('Blaignac', 73, 48.07),;('Blaignac', 73, 48.07),
